revision;duplications
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_2722f1f_8f289b7/rev_2722f1f-8f289b7.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_7de6ec8_c757ba4/rev_7de6ec8-c757ba4.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_4ac445c_ab7dfdb/rev_4ac445c-ab7dfdb.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_ffb108d_a8a86bf/rev_ffb108d-a8a86bf.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_f170a3e_2b31d36/rev_f170a3e-2b31d36.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_0a87959_4215df6/rev_0a87959-4215df6.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_00459ca_0f40506/rev_00459ca-0f40506.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_e7da2a2_68e3afe/rev_e7da2a2-68e3afe.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_fc7003c_85392fa/rev_fc7003c-85392fa.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_7c28a76_bc66205/rev_7c28a76-bc66205.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_9a28310_cf9ab84/rev_9a28310-cf9ab84.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_bf5b268_eaa8fc9/rev_bf5b268-eaa8fc9.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_3276bb5_7c2ce8e/rev_3276bb5-7c2ce8e.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_c82e8c2_5aa23f9/rev_c82e8c2-5aa23f9.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_8b3ee29_4fda696/rev_8b3ee29-4fda696.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_9c91374_39b01d2/rev_9c91374-39b01d2.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_510046b_c33799a/rev_510046b-c33799a.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_f6ca1a3_7939ccf/rev_f6ca1a3-7939ccf.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_79e7688_79c4293/rev_79e7688-79c4293.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_68acc47_cfce014/rev_68acc47-cfce014.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_72cdf65_36e5b8f/rev_72cdf65-36e5b8f.revisions;0
