revision;duplications
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_f2ec67e_28fb91a/rev_f2ec67e-28fb91a.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/jeromq/revisions/rev_48b3cd0_5928a52/rev_48b3cd0-5928a52.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_d61f4d7_f9e7887/rev_d61f4d7-f9e7887.revisions;5
/home/paper219/Desktop/analysis/fullsample//projects/jeromq/revisions/rev_326f2ff_66dc3aa/rev_326f2ff-66dc3aa.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_f99c4ed_20dac7e/rev_f99c4ed-20dac7e.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_f3c2114_8e20f52/rev_f3c2114-8e20f52.revisions;82
/home/paper219/Desktop/analysis/fullsample//projects/jeromq/revisions/rev_422e861_d89fa27/rev_422e861-d89fa27.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_e4ee2c0_f454880/rev_e4ee2c0-f454880.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_e980c59_1bb1eaf/rev_e980c59-1bb1eaf.revisions;4
/home/paper219/Desktop/analysis/fullsample//projects/jeromq/revisions/rev_d89fa27_15d7299/rev_d89fa27-15d7299.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_ed20894_4a1d992/rev_ed20894-4a1d992.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_ef92925_469dcc7/rev_ef92925-469dcc7.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/jeromq/revisions/rev_0132f8f_ba2f30f/rev_0132f8f-ba2f30f.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_592bc69_330135e/rev_592bc69-330135e.revisions;30
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_1708730_912e94c/rev_1708730-912e94c.revisions;2
/home/paper219/Desktop/analysis/fullsample//projects/jeromq/revisions/rev_df52b7c_e772e53/rev_df52b7c-e772e53.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_345fa37_c4f9220/rev_345fa37-c4f9220.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_71ad947_c7fe9c8/rev_71ad947-c7fe9c8.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/jeromq/revisions/rev_9a91297_ee0ea34/rev_9a91297-ee0ea34.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_2df3a1b_af273f7/rev_2df3a1b-af273f7.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_c8059f0_fd1111e/rev_c8059f0-fd1111e.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/jeromq/revisions/rev_08eb905_3f16e43/rev_08eb905-3f16e43.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_f625489_d3362da/rev_f625489-d3362da.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_28d40d9_6c942ae/rev_28d40d9-6c942ae.revisions;34
/home/paper219/Desktop/analysis/fullsample//projects/jeromq/revisions/rev_16a538e_0c0f9b0/rev_16a538e-0c0f9b0.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_851291f_6ba7a69/rev_851291f-6ba7a69.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_c787445_6c942ae/rev_c787445-6c942ae.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/jeromq/revisions/rev_94a843f_a3aa4a6/rev_94a843f-a3aa4a6.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_b7eb51f_9dd23ce/rev_b7eb51f-9dd23ce.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_70a5806_e13f8cd/rev_70a5806-e13f8cd.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/jeromq/revisions/rev_91a21f7_dd61128/rev_91a21f7-dd61128.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_28fb816_30435d7/rev_28fb816-30435d7.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_11f0abd_8b507d7/rev_11f0abd-8b507d7.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/jeromq/revisions/rev_7ab0ac5_b181713/rev_7ab0ac5-b181713.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_333a9bc_e7e4c4c/rev_333a9bc-e7e4c4c.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_219beb3_b77d9de/rev_219beb3-b77d9de.revisions;4
/home/paper219/Desktop/analysis/fullsample//projects/jeromq/revisions/rev_d80c6de_a67959c/rev_d80c6de-a67959c.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_347d743_3d1603b/rev_347d743-3d1603b.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/junit/revisions/rev_2527d9a_2386579/rev_2527d9a-2386579.revisions;26
/home/paper219/Desktop/analysis/fullsample//projects/jeromq/revisions/rev_5a8e4db_1bd3314/rev_5a8e4db-1bd3314.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/jedis/revisions/rev_3fb7a52_f16d915/rev_3fb7a52-f16d915.revisions;0
